Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","TSW-102-26-L-S","0.025"" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS","ADA, ADB, ADC, IOHA, IOHB, IOHC, IOHD, IOLA, IOLB, IOLC, IOLD, JP2A, JP2B, PWRA, PWRB, PWRC","CMP-1024-00330-1","Up to date","16","Samtec","TSW-102-26-L-S","Volume Production","Arrow Electronics","TSW-102-26-L-S","0.2097","3.36"
"","GRM1885C1H220JA01D","Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C1, C2","CMP-2000-04945-1","Up to date","2","Murata","GRM1885C1H220JA01D","Volume Production","Digi-Key","490-1411-1-ND","0.11","0.22"
"","Capacitor 1uF +/- 10% 16V 0603","Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)","C3","CMP-001-00004-6","Up to date","1","KEMET","C0603C105K4RACTU","Unknown","Newark","36X2620","0.018","0.018"
"","22-28-4033","Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm, RoHS, Bulk","ICSP1A, ICSP1B","CMP-1676-00001-5","Up to date","2","Molex","22-28-4033","Unknown","Newark","01J5369","0.13","0.26"
"","DX07S024JJ3R1300","USB-C Connector, 20 V, 1.25 A, -30 to 80 degC, RoHS, Tape and Reel","J1","CMP-002-00065-3","Up to date","1","JAE Electronics","DX07S024JJ3R1300","Volume Production","Mouser","656-DX07S024JJ3R1300","2.57","2.57"
"","S3B-XH-A(LF)(SN)","Male Header, Pitch 2.5 mm, 1 x 3 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21","CMP-002-00033-2","Up to date","20","JST","S3B-XH-A(LF)(SN)","Unknown","Arrow Electronics","S3B-XH-A(LF)(SN)","0.2105","4.21"
"","LTST-C190GKT","LED Uni-Color Green, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","ON","CMP-007-00022-2","Up to date","1","Vishay Lite-On","LTST-C190GKT","Volume Production","Future Electronics","3106685","0.199","0.199"
"","Resistor 10k +/-1% 0603 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)","R1, R10","CMP-009-00017-5","Up to date","2","Yageo","RC0603FR-0710KL","Volume Production","Newark","68X3181","0.003","0.006"
"","RMCF0603FT1M00","1MO ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant","R2","CMP-26527-006958-1","Up to date","1","Stackpole Electronics","RMCF0603FT1M00","Volume Production","Digi-Key","RMCF0603FT1M00CT-ND","0.1","0.1"
"","CRCW06035K10FKEA","RES Thick Film, 5.1kO, 1%, 0.1W, 100ppm/°C, 0603","R3, R4","CMP-1012-00590-3","Up to date","2","Yageo","RC0603FR-075K1L","Unknown","Newark","82AH8175","0.004","0.008"
"","Resistor 1K +/-5% 0805 125 mW","Chip Resistor, 1 kOhms, +/-5%, 125 mW, -55 to 155 degC, 0805","R5, R6, R7, R8, R9, R11","CMP-009-00118-3","Up to date","6","Yageo","RC0805JR-071KL","Unknown","Digi-Key","311-1.0KARCT-ND","0.028","0.28"
"","19-217/Y5C-AM1N1VY/3T","Chip LED, Yellow, 5 V, 25mA, -40 to 85 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","RX, TX","CMP-007-00005-2","Up to date","2","","","","","","",""
"","ATMEGA328P-AU","8-Bit Microcontroller with 32 KBytes In-System Programmable Flash, 23 I/Os, -40 to 85 degC, 32-Pin TQFP (32A), RoHS, Tray","U1","CMP-020-00003-3","Up to date","1","Microchip","ATMEGA328P-AU","Unknown","Heisener","ATMEGA328P-AU","3.03","3.03"
"","ATmega8U2-AU","8-bit AVR Microcontroller, 2.7-5.5V, 8KB Flash, 512 Bytes EEPROM, 512 Bytes SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)","U2","CMP-0095-00216-3","Up to date","1","Microchip","ATMEGA8U2-AU","Volume Production","Farnell","1748535","2.92","2.92"
"","49S/18PF","Crystal, 16 MHz, +/-20 ppm, 18 pF, -20 to 70 degC, 2-Pin THD, RoHS","Y1","CMP-003-00000-2","Up to date","1","","","","","","",""
